input_row_key,input_company_name,input_country,input_city,matched_company_name,matched_veridion_id,matched_country,matched_city,matched_website,match_score,name_similarity,match_confidence,notes
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,Pakistan,Karachi,New Millennium Network,26e22210-93e5-11eb-b997-8dd98d09cf25,Pakistan,Karachi,https://www.mnet.com.pk/,0.654,0.59,Medium,Moderate name match
1,2OPERATE A/S,Denmark,Aalborg,2operate,8b99ef83-93e4-11eb-b997-8dd98d09cf25,Denmark,Aalborg Municipality,https://www.2operate.com/,0.9,1.0,High,Strong name match
10,ACCENTURE SERVICES AS,Norway,Bærum,Accenture Norge,182e8830-1b02-11ec-81d0-432e4ac5b2cc,Norway,Oslo,https://www.accenture.no/,0.6,0.75,Medium,Good fuzzy name match
100,COMBA TELECOM LIMITED,Hong Kong,Hong Kong Island,Comba Telecom,85816b51-93e4-11eb-a736-0f5b20ecb2f1,Hong Kong,New Territories,https://comba-telecom.com/en/,0.8,1.0,High,Strong name match
101,Comengineering Sdn. Bhd.,Malaysia,Subang Jaya,COMENGINEERING SDN BHD.,eb823b24-1e9c-11ee-918e-3b99085851a3,Malaysia,Subang Jaya,,1.0,1.0,High,Strong name match
102,COMMSCOPE SOLUTIONS SINGAPORE PTE. LTD.,Singapore,Singapore,All Property Solutions Singapore,03be7761-93e5-11eb-a746-fdabd18be9c6,Singapore,Singapore,https://apss.com.sg/,0.768,0.78,High,Good fuzzy name match
103,CommScope Technologies AG,Switzerland,Zurich,Commscope Technologies Ag,ff338e8e-b929-11ed-89f1-bd62b3e1c745,Switzerland,Bachenbülach,,0.8,1.0,High,Strong name match
104,COMMSCOPE TECHNOLOGIES LLC,United States,,CommScope,0094d3b3-1b06-11ec-8d54-8181ab1eaaa9,United States,Omaha,,0.6,0.75,Medium,Good fuzzy name match
105,COMVIVA TECHNOLOGIES LIMITED,India,Gurugram,Comviva Technologies,8913e0f5-93e4-11eb-91fb-73d498260b10,India,Gurugram,https://www.comviva.com/,1.0,1.0,High,Strong name match
106,CONSCIA DANMARK A/S,Denmark,Glostrup,Conscia Danmark A/S.,33c93c45-a7e0-11ef-af89-216a077ca7fb,Denmark,Ringsted,https://laugesen.io/,0.75,1.0,High,Strong name match
107,CONTROL RISKS GROUP LIMITED,United Kingdom,London,Control Risks Group Holdings Ltd.,be890a78-9d75-11ed-816c-8fdd7f384ea6,United Kingdom,London,https://www.controlrisks.net/,1.0,1.0,High,Strong name match
108,CORPORATE COMMUNICATIONS AS,Norway,Oslo,Corporate Communications,e48e4e11-93e4-11eb-919a-b3f9a5ad205c,Norway,Oslo,https://corporatecommunications.no/,1.0,1.0,High,Strong name match
109,"COUPA SOFTWARE, INC.",United States,San Mateo,Coupa,f62860c0-93e4-11eb-8e19-198fb02d6f96,United States,San Mateo,https://www.coupa.com/,1.0,1.0,High,Strong name match
11,Accutics ApS,Denmark,Odense,Accutics,347c7e63-93e5-11eb-90d2-e3355a7e800b,Denmark,Copenhagen Municipality,https://www.accutics.com/,0.75,1.0,High,Strong name match
110,"COURSERA, INC.",United States,Mountain View,Coursera,7e044e20-93e4-11eb-8474-3bbe2d07207d,United States,Mountain View,https://www.coursera.org/,1.0,1.0,High,Strong name match
111,CRAYON A/S,Denmark,Gladsaxe Municipality,Crayon A/S.,b9ebf60e-f3c1-11ed-afbd-cd002aee0352,Denmark,Silkeborg,,0.75,1.0,High,Strong name match
112,CRAYON AS,Norway,Oslo,Crayon Group,16e36fd0-93e5-11eb-8e19-198fb02d6f96,Norway,Oslo,https://www.crayon.com/,1.0,1.0,High,Strong name match
113,CRAYON PTE. LTD.,Singapore,,Crayon Digital Pte Ltd.,11ca0c36-93e5-11eb-b997-8dd98d09cf25,Singapore,Singapore,https://crayondigital.net/,0.65,0.8333,Medium,Good fuzzy name match
114,"CROWDSTRIKE SERVICES, INC.",United States,Sunnyvale,CrowdStrike,01be7de3-0c24-11ec-aa7c-a3d935d57c91,United States,Sunnyvale,https://www.mdcoin.net/,0.928,0.88,High,Good fuzzy name match
115,Searcher ApS,Denmark,Aarhus Municipality,Searcher,c7c58151-43ae-11ef-b5d2-e5c02fb4c089,Denmark,Aarhus,https://searcher.dk/,0.85,1.0,High,Strong name match
116,"CUSHMAN & WAKEFIELD SERVICES (THAILAND) CO., LTD.",Thailand,,Cushman & Wakefield Services Thailand Co. Ltd.,e8e82741-5871-11ec-b633-39790144a985,Thailand,Ratchathewi,,0.75,1.0,High,Strong name match
117,DADES Center Ost ApS,Denmark,Kongens Lyngby,Dades,1e999e70-93e5-11eb-91fb-73d498260b10,Denmark,Kongens Lyngby,https://dades.dk/,0.8,0.6667,High,Moderate name match
118,BONNIER BUSINESS PRESS A/S,Denmark,Copenhagen,Vi I Villa,3d8c97b4-93e5-11eb-a736-0f5b20ecb2f1,Denmark,Copenhagen,https://viivilla.no/,0.642,0.57,Medium,Moderate name match
119,DAILY JURRAT,Pakistan,Civil Lines,Daily Dunya,01e830c0-93e5-11eb-91fb-73d498260b10,Pakistan,Lahore,http://www.dunya.com.pk/,0.62,0.7,Medium,Good fuzzy name match
12,ACOME,France,Paris,ACOME Company a Cooperative,fed105d4-93e4-11eb-9937-4fab995bf8ff,France,Paris,https://www.acome.com/en,1.0,1.0,High,Strong name match
120,Dansk Kredit Rad,Denmark,Greve Strand,Dansk Kredit Råd,070edae0-93e5-11eb-b4a6-27899be4e45d,Denmark,Køge,https://dk-r.dk/,0.782,0.97,High,Strong name match
121,DANSK SUNDHEDSSIKRING KOMPLEMENTARSELSKAB ApS,Denmark,Herlev,Dansk Sundhedssikring,1f89f1e3-93e5-11eb-b5f6-816dd10ac7b0,Denmark,Herlev,http://ds-sundhed.dk/,0.85,0.8333,High,Good fuzzy name match
122,DANSKE BANK A/S,Denmark,,Danske Bank,c6eb5470-93e4-11eb-9937-4fab995bf8ff,Denmark,Copenhagen,https://danskebank.com/,0.75,1.0,High,Strong name match
